COUNTRY,YEAR,MONTH,PRODUCT,VALUE,yearToDate
Argentina,2020,1,Hydro,2983.224065,2983.224065
Argentina,2020,1,Wind,676.706644,676.706644
Argentina,2020,1,Solar,105.912517,105.912517
Argentina,2020,1,Geothermal,0,0
Argentina,2020,1,Other renewables,0,0
Argentina,2020,1,Nuclear,795.340832,795.340832
Argentina,2020,1,Total combustible fuels,7891.81959,7891.81959
Argentina,2020,1,Coal,58.052102,58.052102
Argentina,2020,1,Oil,901.194613,901.194613
Argentina,2020,1,Natural gas,6815.826401,6815.826401
Argentina,2020,1,Combustible renewables,116.746474,116.746474
Argentina,2020,1,Other combustible non-renewables,0,0
Argentina,2020,1,Not specified,0,0
Argentina,2020,1,Net electricity production,12453.003649,12453.003649
Argentina,2020,1,Total imports,0,0
Argentina,2020,1,Total exports,0,0
Argentina,2020,1,Electricity supplied,12453.003649,12453.003649
Argentina,2020,1,Used for pumped storage,0,0
Argentina,2020,1,Distribution losses,0,0
Argentina,2020,1,Final consumption,12666.797183,12666.797183
Argentina,2020,1,Electricity trade,0,0
Argentina,2020,1,Renewables,3882.5897,3882.5897
Argentina,2020,1,Non-renewables,8570.413948,8570.413948
Argentina,2020,1,Others,901.194613,901.194613
Argentina,2020,1,Other renewables aggregated,116.746474,116.746474
Argentina,2020,1,Low carbon,4677.930532,4677.930532
Argentina,2020,1,Fossil fuels,7775.073116,7775.073116
Brazil,2020,1,Hydro,36961.224057,36961.224057
Brazil,2020,1,Wind,2797.063407,2797.063407
Brazil,2020,1,Solar,788.538504,788.538504
Brazil,2020,1,Geothermal,0,0
Brazil,2020,1,Other renewables,0,0
Brazil,2020,1,Nuclear,1089.205867,1089.205867
Brazil,2020,1,Total combustible fuels,12763.177907,12763.177907
Brazil,2020,1,Coal,2684.08636,2684.08636
Brazil,2020,1,Oil,1156.498689,1156.498689
Brazil,2020,1,Natural gas,7260.774221,7260.774221
Brazil,2020,1,Combustible renewables,1484.080305,1484.080305
Brazil,2020,1,Other combustible non-renewables,177.738333,177.738333
Brazil,2020,1,Not specified,0,0
Brazil,2020,1,Net electricity production,54399.209742,54399.209742
Brazil,2020,1,Total imports,0,0
Brazil,2020,1,Total exports,0,0
Brazil,2020,1,Electricity supplied,54399.209742,54399.209742
Brazil,2020,1,Used for pumped storage,0,0
Brazil,2020,1,Distribution losses,0,0
Brazil,2020,1,Final consumption,52218.850773,52218.850773
Brazil,2020,1,Electricity trade,0,0
Brazil,2020,1,Renewables,42030.906273,42030.906273
Brazil,2020,1,Non-renewables,12368.30347,12368.30347
Brazil,2020,1,Others,1334.237022,1334.237022
Brazil,2020,1,Other renewables aggregated,1484.080305,1484.080305
Brazil,2020,1,Low carbon,43120.11214,43120.11214
Brazil,2020,1,Fossil fuels,11279.097603,11279.097603
Canada,2020,1,Hydro,38811.235762,38811.235762
Canada,2020,1,Wind,2799.93741,2799.93741
Canada,2020,1,Solar,109.091585,109.091585
Canada,2020,1,Geothermal,0,0
Canada,2020,1,Other renewables,0,0
Canada,2020,1,Nuclear,8896.854326,8896.854326
Canada,2020,1,Total combustible fuels,11737.291511,11737.291511
Canada,2020,1,Coal,3587.358515,3587.358515
Canada,2020,1,Oil,437.274555,437.274555
Canada,2020,1,Natural gas,6770.379556,6770.379556
Canada,2020,1,Combustible renewables,929.939077,929.939077
Canada,2020,1,Other combustible non-renewables,12.339808,12.339808
Canada,2020,1,Not specified,25.75,25.75
Canada,2020,1,Net electricity production,62380.160594,62380.160594
Canada,2020,1,Total imports,1068.949443,1068.949443
Canada,2020,1,Total exports,5067.450834,5067.450834
Canada,2020,1,Electricity supplied,58381.659203,58381.659203
Canada,2020,1,Used for pumped storage,21.292042,21.292042
Canada,2020,1,Distribution losses,3336.570696,3336.570696
Canada,2020,1,Final consumption,55023.796465,55023.796465
Canada,2020,1,Electricity trade,3998.501391,3998.501391
Canada,2020,1,Renewables,42650.203834,42650.203834
